date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:27:28	531376/531376	---MCZ	200	added ('OK')	text/html	etag:W/%2213a6bcf215938090686775a6b33f87ba%22	https://rebeccayrpark.wixsite.com/mysite	rebeccayrpark.wixsite.com/mysite.html	(from )
03:27:29	448/448	---M--	200	added ('OK')	text/plain	etag:W/%221c0-LEvfIZx80gSA6qEjkhDT6fK6I20%22	https://rebeccayrpark.wixsite.com/robots.txt		(from )
03:27:29	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:29%20GMT	https://rebeccayrpark.wixsite.com/	rebeccayrpark.wixsite.com/index.html	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:30	532358/532358	---MCZ	200	added ('OK')	text/html	etag:W/%22b961cfb8b7ed0fd4a6c7f43eb849dcac%22	https://rebeccayrpark.wixsite.com/mysite/info	rebeccayrpark.wixsite.com/mysite/info.html	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:31	517472/517472	---MCZ	200	added ('OK')	text/html	etag:W/%22cf1e2a145bb26d0a3b104696132b240c%22	https://rebeccayrpark.wixsite.com/mysite/about-me	rebeccayrpark.wixsite.com/mysite/about-me.html	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:32	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:32%20GMT	https://rebeccayrpark.wixsite.com/sitemap.xml	rebeccayrpark.wixsite.com/sitemap.4.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:33	509350/509350	---MCZ	200	added ('OK')	text/html	etag:W/%22fd0d158d36a10dadaea5e1a66ee087ed%22	https://rebeccayrpark.wixsite.com/mysite/book-online-1	rebeccayrpark.wixsite.com/mysite/book-online-1.html	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:33	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:33%20GMT	https://rebeccayrpark.wixsite.com/feed.xml	rebeccayrpark.wixsite.com/feed.5.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:34	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:34%20GMT	https://rebeccayrpark.wixsite.com/${n.uri}	rebeccayrpark.wixsite.com/${n.6.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:35	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:35%20GMT	https://rebeccayrpark.wixsite.com/decodeURIComponent(e	rebeccayrpark.wixsite.com/decodeURIComponent(e.7.delayed	(from https://rebeccayrpark.wixsite.com/mysite)
03:27:36	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:36%20GMT	https://rebeccayrpark.wixsite.com/mysite/robots.txt	rebeccayrpark.wixsite.com/mysite/robots.8.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
03:27:37	260/260	---M--	200	added ('OK')	text/xml	etag:W/%22104-8x7VwPLGb3NlhFipIYy23mcZvSE%22	https://rebeccayrpark.wixsite.com/mysite/sitemap.xml	rebeccayrpark.wixsite.com/mysite/sitemap.xml	(from https://rebeccayrpark.wixsite.com/mysite/info)
03:27:38	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:38%20GMT	https://rebeccayrpark.wixsite.com/mysite/feed.xml	rebeccayrpark.wixsite.com/mysite/feed.a.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
03:27:39	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:39%20GMT	https://rebeccayrpark.wixsite.com/mysite/${n.uri}	rebeccayrpark.wixsite.com/mysite/${n.b.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
03:27:40	3029/3029	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Feb%202024%2018:27:40%20GMT	https://rebeccayrpark.wixsite.com/mysite/decodeURIComponent(e	rebeccayrpark.wixsite.com/mysite/decodeURIComponent(e.c.delayed	(from https://rebeccayrpark.wixsite.com/mysite/info)
